	Brain_1	Call	p-value	Brain_2	Call	p-value	Fetal_brain_1	Call	p-value	Fetal_brain_2	Call	p-value	Fetal_liver_1	Call	p-value	Fetal_liver_2	Call	p-value	Liver_1	Call	p-value	Liver_2	Call	p-value
41208_at	105.48	A	0.25	35.96	A	0.46	161.91	A	0.07	177.96	A	0.08	55.21	A	0.62	52.22	A	0.16	95.65	A	0.46	30.72	A	0.62
41209_at	378.96	P	0.01	154.52	P	0.01	5603.98	P	0	5172.38	P	0	133.44	A	0.27	211.45	A	0.16	176.58	A	0.28	95.86	A	0.25
41210_at	37.91	A	0.78	36.03	A	0.75	28.84	A	0.81	37.04	A	0.68	52.26	A	0.58	47.62	A	0.54	53.68	A	0.87	30.95	A	0.77
41211_at	102.08	M	0.05	119.63	A	0.07	230.4	M	0.05	252.36	P	0.02	38.28	A	0.42	55.87	A	0.19	73.33	A	0.15	125.24	P	0.03
41212_r_at	2477.48	P	0	2497.38	P	0	1652.78	P	0	2106.22	P	0	1926.59	P	0	2259.36	P	0	1763.17	P	0	1758.13	P	0
41213_at	4636.25	P	0	3017.47	P	0	2113.45	P	0	2560.09	P	0	4866.57	P	0	4714.31	P	0	3539.83	P	0	2671.24	P	0
41214_at	1378	P	0	956.91	P	0	1744.06	P	0	1926.9	P	0	2636.92	P	0	3051.96	P	0	1806.97	P	0	1925.79	P	0
41215_s_at	2870.74	P	0	3275.91	P	0	3799.65	P	0	3781.26	P	0	3834.02	P	0	4004.73	P	0	2142.38	P	0	1739.49	P	0
41216_r_at	24.13	A	0.08	55.37	A	0.07	60.18	A	0.12	105.26	P	0.04	65.66	P	0.04	91.08	P	0	48.56	A	0.07	60.68	A	0.13
41217_at	48.86	A	0.48	60.81	A	0.08	62.15	A	0.32	58.81	A	0.23	8.5	A	1	12.95	A	0.84	15.88	A	0.8	6.22	A	1
41218_at	243.91	P	0	87.76	A	0.09	308.32	P	0.01	308.38	P	0.01	161.26	A	0.12	214.99	A	0.07	175.34	A	0.32	252.48	M	0.05
41219_at	13.77	A	0.81	26.81	A	0.32	201.04	P	0.01	303.8	P	0	17.63	A	0.87	57.52	A	0.2	39.49	A	0.62	46.53	A	0.64
41220_at	3839.64	P	0.01	5171.72	P	0.01	1299.29	P	0.01	1670.14	P	0	3174.13	P	0.01	3500.73	P	0	3684.21	P	0.01	1931.55	P	0.02
41221_at	22499.78	P	0	19634.87	P	0	5879.32	P	0	6485.45	P	0	6967.47	P	0	6247.75	P	0	7027.29	P	0	7564.81	P	0
41222_at	1227.32	P	0.02	1207.18	P	0	170.86	A	0.34	302.44	A	0.27	1572.19	P	0.04	1590.33	P	0.02	2128.27	P	0.03	1891.28	P	0.02
41223_at	2466.16	P	0	2692.15	P	0	1581.09	P	0	1884.67	P	0	2150.91	P	0	2263.77	P	0	2493.27	P	0	2871.86	P	0
41224_at	1514.29	P	0	1723.15	P	0	2694.1	P	0	2645.67	P	0	2999.21	P	0	3203.15	P	0	1930.96	P	0	2428.45	P	0
41225_at	1849.22	P	0	1705.18	P	0	788.18	P	0	708.31	P	0	683.13	P	0	838.09	P	0	1025.72	P	0	1075.57	P	0
41226_at	324.97	P	0.04	578.21	P	0	479.03	P	0	391.37	P	0	559.99	M	0.05	565.25	P	0.02	546.43	P	0.01	572.3	A	0.07
41227_at	3582.54	P	0	3593.73	P	0	2131.14	P	0.02	2133.49	P	0	1684.64	M	0.05	1529.14	M	0.04	1893.26	A	0.15	1966.4	A	0.2
41228_r_at	81.36	P	0.04	49.27	P	0.01	117	P	0.04	122.09	P	0.01	86.24	P	0.01	80.72	P	0.03	131.7	P	0.01	89.3	P	0.01
41229_at	289.31	P	0.01	232.58	P	0	899.49	P	0	915.44	P	0	40.73	A	0.56	75.32	A	0.12	22.19	A	0.48	189.51	M	0.05
41230_at	543.07	A	0.38	550.47	A	0.4	248.01	A	0.48	297.4	A	0.54	93.25	A	0.82	75.95	A	0.77	49.49	A	0.93	87.95	A	0.95
41231_f_at	11223.68	P	0	14486.04	P	0	10393.76	P	0	11094.85	P	0	18226.15	P	0	14077	P	0	9769.59	P	0	7252.11	P	0
41232_at	106.43	A	0.12	132.31	P	0.01	134.83	A	0.27	123.12	A	0.12	249.5	P	0	258.19	P	0	168.61	A	0.08	263.36	A	0.11
41233_at	5683.08	P	0	3645.58	P	0	4630.41	P	0	5457.63	P	0	1254.53	P	0	1341.78	P	0	321.17	P	0.01	490.59	M	0.04
41234_at	375.49	A	0.12	474.62	P	0.03	395.16	A	0.13	304.48	A	0.19	418.79	A	0.12	531.6	M	0.05	506.33	A	0.2	684.53	A	0.11
41235_at	2650.95	P	0	2226.31	P	0	2133.6	P	0	2292.88	P	0	3147	P	0	2819.71	P	0	2050.95	P	0	2415.13	P	0.02
41236_at	521.5	P	0.01	620.91	P	0	437.42	A	0.09	443.54	P	0.02	380.01	A	0.14	450.11	P	0.04	323.39	A	0.14	243.51	A	0.28
41237_at	3632.54	P	0	4878.19	P	0	708.46	P	0	776.15	P	0	6360.42	P	0	6703.87	P	0	12884.48	P	0	11491.5	P	0
41238_s_at	136.28	A	0.64	84.53	A	0.8	115.47	A	0.73	103.17	A	0.68	218.29	A	0.66	261.88	A	0.54	859.55	A	0.32	328.31	A	0.5
41239_r_at	15.99	A	0.5	3.26	A	0.44	32.49	A	0.27	23.03	A	0.2	29.09	A	0.46	79.39	P	0	5.32	A	0.72	28.92	A	0.15
41240_at	78.08	P	0	83.03	P	0.02	116.61	P	0.02	146.47	P	0	108.76	A	0.12	50.72	A	0.1	61.41	A	0.42	15.92	A	0.54
41241_at	2786.95	P	0	1698.74	P	0	2498.54	P	0	2579.06	P	0	875.54	P	0	1139.56	P	0	453.17	P	0.01	356	P	0
41242_at	128.64	P	0.02	83.7	P	0	156.71	P	0	155.76	P	0	173.19	P	0	178.37	P	0	182.98	P	0.02	107.82	P	0
41243_at	1101.05	P	0	1475.54	P	0	3071.24	P	0	3184.32	P	0	457.29	P	0	589.5	P	0	228.61	P	0.01	313.46	P	0.01
41244_f_at	276.32	A	0.11	155.31	A	0.15	733.2	P	0.01	758.26	P	0	427.23	A	0.07	344.42	A	0.07	265.49	A	0.19	520.58	P	0.04
41245_at	117.53	A	0.25	191.53	P	0.02	257.02	A	0.08	241.36	P	0.01	21.77	A	0.9	24.14	A	0.82	19.36	A	0.89	15.12	A	0.96
41246_at	4287.45	P	0	3910.48	P	0	2710.34	P	0	2582.4	P	0	618.86	P	0	492.26	P	0	298.02	P	0.01	359.63	P	0.01
41247_at	670.64	P	0	912.27	P	0	828.81	P	0.01	676.97	P	0.01	602.14	A	0.18	412.91	M	0.04	393.93	A	0.23	592.4	A	0.13
41248_at	307.56	P	0	167.46	P	0	236.77	P	0.01	279.65	P	0	53.6	A	0.36	103.4	M	0.05	102.5	A	0.15	106.39	A	0.27
41249_at	383.14	P	0	500.85	P	0	392.18	P	0.04	416.1	P	0.04	828.3	P	0.01	974.91	P	0	1136.92	P	0.01	933.55	P	0.01
41250_at	380.2	P	0	328.5	P	0	612.61	P	0.01	559.63	P	0.01	541.08	P	0	513.16	P	0	805.68	P	0	696.17	P	0
41251_at	804.45	P	0	810.56	P	0	546.6	P	0	929.83	P	0	330.82	A	0.15	332.71	P	0.03	351.14	A	0.19	203.71	A	0.16
41252_s_at	64.15	A	0.22	64.58	A	0.11	62.22	A	0.28	39.83	A	0.32	62	A	0.5	38.6	A	0.42	93.67	A	0.22	99.98	A	0.22
41253_s_at	1256.85	P	0	1128.5	P	0	941.71	P	0	978.81	P	0	371.1	P	0	563.36	P	0	167.74	P	0	108.59	A	0.08
41254_at	261.83	P	0	201.3	P	0	519.35	P	0	488.12	P	0	22.29	A	0.7	12.93	A	0.34	73.86	A	0.23	36.67	A	0.13
41255_at	175.35	A	0.5	78.18	A	0.62	207.03	A	0.5	200.91	A	0.46	617.37	A	0.2	339.74	A	0.22	599.68	A	0.27	394.84	A	0.14
41256_at	2386.37	P	0	1945.72	P	0	1773.65	P	0	2106.53	P	0	4342.95	P	0	4200	P	0	7487.95	P	0	5025.71	P	0
41257_at	121.56	P	0	50.02	P	0.02	87.1	P	0.01	94.86	P	0	67.07	A	0.09	86.07	P	0	58.51	A	0.14	91.99	P	0.02
41258_at	1239.32	P	0	1276.53	P	0	1379.7	P	0	1521.46	P	0	873.99	P	0.04	794.61	M	0.05	378.81	A	0.16	427.11	A	0.2
41259_at	262.62	A	0.32	292.51	M	0.05	116.38	A	0.38	102.41	A	0.38	327.19	A	0.08	410.52	A	0.12	146.63	A	0.48	67.9	A	0.68
41260_at	432.81	P	0	179.54	P	0.01	2043.24	P	0	1555.92	P	0	452.73	P	0.02	520.03	P	0.01	344.91	P	0.01	88.54	A	0.52
41261_at	40.57	A	0.5	20.42	A	0.7	44.06	A	0.58	106.58	A	0.48	75.91	A	0.48	34.63	A	0.6	19.47	A	0.85	47.96	A	0.77
41262_at	111.96	A	0.68	124.5	A	0.64	457.84	A	0.42	392.28	A	0.48	168.01	A	0.68	238.26	A	0.56	135.02	A	0.8	665.49	A	0.5
41263_at	314.56	A	0.15	248.31	A	0.1	329.05	A	0.07	265.6	A	0.07	300.5	A	0.08	279.88	A	0.09	438.97	A	0.09	658.15	P	0.03
41264_at	894.1	P	0	1287.86	P	0.01	2083.33	P	0	1883.81	P	0	314.01	A	0.52	415.43	A	0.19	427.34	A	0.48	266.57	A	0.56
41265_at	22.47	A	0.98	14.85	A	0.88	34.42	A	0.81	21.24	A	0.84	40.54	A	0.9	18.6	A	0.89	20.86	A	0.96	31.17	A	0.91
41266_at	575.88	P	0	348.72	P	0.01	626.16	P	0	591.97	P	0	228.96	P	0.03	346.91	P	0.01	281.03	A	0.23	177.56	A	0.36
41267_at	1856	P	0	2119.49	P	0	1171.86	P	0	1044.15	P	0	1025.78	P	0	847.08	P	0	1477.14	P	0	1556.17	P	0
41268_g_at	4659.65	P	0	5135.12	P	0	1889.77	P	0	2259.39	P	0	1465.55	P	0.01	2038.09	P	0	2385.99	P	0	1446.49	P	0.01
41269_r_at	247.66	P	0.02	131.54	P	0	288.58	P	0	373.27	P	0	247.17	A	0.07	148.08	P	0.03	150.77	A	0.14	272.86	M	0.05
41270_at	18.25	A	0.82	9.38	A	0.84	22.09	A	0.64	34.91	A	0.64	28.63	A	0.87	25.86	A	0.85	32.69	A	0.77	25.27	A	0.84
41271_at	230.09	A	0.22	622.74	P	0.02	88.8	A	0.72	46.13	A	0.81	582.67	A	0.3	216.41	A	0.5	122.26	A	0.86	278.98	A	0.6
41272_s_at	123.14	A	0.22	86.92	A	0.12	196.65	P	0.01	210.13	P	0.03	212.22	A	0.07	172.95	M	0.04	147.04	A	0.15	199.97	A	0.08
41273_at	2094.14	P	0	2133.24	P	0	596.93	P	0	778.39	P	0	389.62	M	0.05	718.26	P	0	578.61	P	0.02	772.3	P	0.03
41274_at	289.41	A	0.27	16.26	A	0.73	146.12	A	0.5	29.8	A	0.66	30.23	A	0.75	57.14	A	0.56	30.53	A	0.85	48.46	A	0.6
41275_at	87.49	A	0.52	185.65	A	0.19	317.28	A	0.15	412.13	M	0.05	142.11	A	0.5	112.83	A	0.36	37.42	A	0.85	37	A	0.93
41276_at	738.75	P	0.01	647.65	P	0.01	511.9	A	0.12	508.32	P	0.04	224.13	A	0.25	196.7	A	0.32	340.88	A	0.18	96.01	A	0.54
41277_at	333.03	P	0	196.17	P	0	209.06	P	0	248.58	P	0	152.33	A	0.16	163.51	P	0.01	92.25	A	0.6	34.33	A	0.58
41278_at	141.46	P	0.02	103.51	P	0.01	332.88	P	0.01	269.34	P	0	306.12	P	0.01	453.19	P	0	153.42	A	0.09	117.71	A	0.1
41279_f_at	4648.2	P	0	5045.64	P	0	2361.73	P	0	2400.64	P	0	580.24	A	0.28	467.81	A	0.27	1102.85	A	0.23	1213.59	A	0.23
41280_r_at	3717.51	P	0.02	4607.02	P	0.01	2750.33	P	0.04	2409.12	P	0.04	199.59	A	0.52	219.04	A	0.43	318.92	A	0.5	153.4	A	0.62
41281_s_at	617.05	P	0.04	870.94	P	0	344.16	A	0.07	288.13	P	0.04	523.71	A	0.08	672.05	P	0.01	784.2	P	0.04	932.74	P	0.01
41282_s_at	739.65	A	0.08	1030.45	M	0.04	576.14	A	0.22	587.88	A	0.19	716.77	A	0.3	347.31	A	0.3	708.52	A	0.36	854.45	A	0.3
41283_at	959.06	P	0	931.51	P	0	2728.09	P	0	2989.23	P	0	295.28	P	0	313.63	P	0	62.91	A	0.32	185.54	A	0.18
41284_at	153.74	A	0.11	155.58	A	0.12	248.6	A	0.25	52.54	A	0.38	200.12	A	0.18	153.62	A	0.15	231.34	A	0.12	438.37	A	0.1
41285_at	372.63	A	0.28	579.02	A	0.07	322.93	A	0.25	291.6	A	0.27	477.03	A	0.22	523.94	A	0.15	559.44	A	0.38	626.12	A	0.22
41286_at	142.32	M	0.05	83.55	P	0.03	148.83	P	0	123.37	P	0.01	175.27	P	0.02	156.97	P	0.01	148.7	M	0.05	195.97	P	0.04
41287_s_at	2073.42	P	0	2350.75	P	0	3489.19	P	0	3633.53	P	0	405.88	A	0.07	290.93	A	0.07	381.91	A	0.19	349.1	A	0.27
41288_at	21698.19	P	0	12899.67	P	0	11677.95	P	0	9672.29	P	0	837.08	A	0.06	632.69	P	0.01	710.99	P	0.01	621.9	P	0.03
41289_at	1410.17	P	0	1419.41	P	0	4255.75	P	0	3970.36	P	0	444.08	A	0.34	370.37	A	0.32	109.85	A	0.66	491.64	A	0.44
41290_at	55.58	A	0.68	152.69	A	0.34	440.74	A	0.07	304.76	A	0.12	61.18	A	0.87	48.85	A	0.86	73.59	A	0.95	74.86	A	0.86
41291_at	230.97	A	0.5	633.72	A	0.3	918.1	A	0.14	727.26	A	0.16	480.16	A	0.5	456.95	A	0.48	926.35	A	0.44	869.54	A	0.44
41292_at	243.1	P	0	192.03	P	0	914.13	P	0	1172.19	P	0	361.67	P	0	436.39	P	0	101.93	P	0	145.62	P	0
41293_at	262.37	A	0.6	59.34	A	0.73	142.58	A	0.66	75.53	A	0.75	165.26	A	0.75	106.58	A	0.73	108.56	A	0.78	137.28	A	0.73
41294_at	33.44	A	0.9	45.59	A	0.36	10.09	A	0.98	9.81	A	0.93	29.71	A	0.73	91.74	A	0.25	111.84	A	0.3	94.51	A	0.52
41295_at	6915.67	P	0	5528.16	P	0	4306.02	P	0	4369.75	P	0	3736.39	P	0	3906.55	P	0	3211.68	P	0	2460.71	P	0
41296_s_at	334.32	M	0.04	322.82	P	0	228.2	P	0.04	224.94	P	0.01	195.7	A	0.18	246.6	P	0.04	209.48	A	0.32	61.17	A	0.64
41297_at	41.01	A	0.77	42.06	A	0.62	74.69	A	0.6	22.68	A	0.93	78.73	A	0.5	35.67	A	0.78	56.82	A	0.66	54.98	A	0.75
41298_at	42.14	A	0.6	65.9	P	0.04	181.96	A	0.07	109.05	P	0.02	113.14	A	0.36	82.26	A	0.25	61.66	A	0.19	83.63	A	0.16
41299_f_at	160.19	A	0.54	19.31	A	0.84	32.53	A	0.81	13.7	A	0.75	26.09	A	0.93	20.22	A	0.93	48.58	A	0.81	28.48	A	0.9
413_at	47.77	A	0.73	16.86	A	0.78	147.76	A	0.6	52.34	A	0.5	73.33	A	0.66	121.91	A	0.44	67.96	A	0.62	189.74	A	0.38
41300_s_at	2794.36	P	0	2727.05	P	0	2039.15	P	0	1893.53	P	0	2359.02	P	0	2384.97	P	0	3443.08	P	0	2813.25	P	0.01
41301_at	336.62	A	0.13	475.69	A	0.07	465.7	A	0.25	357.95	A	0.19	351.72	A	0.27	428.3	A	0.27	737.79	A	0.14	500.33	A	0.34
41302_at	3366.94	P	0	2568.98	P	0	955.98	P	0	877.18	P	0	820.48	P	0	980.53	P	0	679.23	P	0	884.45	P	0.02
41303_r_at	3.58	A	0.99	11.33	A	0.48	67.79	P	0.01	70.65	M	0.05	47.98	A	0.38	36.13	A	0.1	23.38	A	0.64	6.77	A	0.66
41304_at	43.86	A	0.7	138.99	A	0.14	308.51	M	0.05	204.13	A	0.12	307.97	A	0.15	275.12	A	0.14	236.97	A	0.18	237.67	A	0.19
41305_at	409.4	A	0.23	274.04	A	0.16	531.8	A	0.25	550.24	A	0.38	780.42	A	0.2	775.97	A	0.13	648.06	A	0.25	927.2	A	0.2
41306_at	1345.05	P	0	1315.89	P	0	796.97	A	0.08	687.43	A	0.12	838.18	A	0.19	627.18	A	0.19	712.35	A	0.4	1004.66	A	0.28
41307_at	74.99	A	0.7	56.34	A	0.73	250.21	A	0.36	105.1	A	0.62	54.97	A	0.68	60.33	A	0.77	159.28	A	0.72	93.56	A	0.8
41308_at	1330.14	P	0	1885.71	P	0	1634.35	P	0	1475.1	P	0	549.11	P	0	669.18	P	0	667.67	P	0	1070.35	P	0
41309_g_at	1840.13	P	0	2021.5	P	0	1560.76	P	0	1386.02	P	0	1678.63	P	0	1697.78	P	0	2010.79	P	0	2246.34	P	0
41310_f_at	541.57	A	0.18	448.19	A	0.12	254.84	A	0.36	215.61	A	0.32	779.54	A	0.19	832.22	A	0.13	913.53	A	0.2	1231.92	A	0.12
41311_f_at	57.88	A	0.75	66.17	A	0.64	15.52	A	0.84	95.35	A	0.58	45.39	A	0.73	27.17	A	0.78	81.16	A	0.6	82.38	A	0.58
41312_r_at	225.2	A	0.48	119.05	A	0.64	115.62	A	0.54	91.05	A	0.52	174.97	A	0.48	154.29	A	0.46	264.51	A	0.58	167.26	A	0.58
41313_at	119.45	A	0.22	211.19	P	0	184.51	M	0.05	256.72	P	0.01	360.51	P	0	398.89	P	0	340.3	P	0	345.19	P	0
41314_at	2213.03	P	0	3736.56	P	0	1849.16	P	0	1909.67	P	0	1963.18	P	0	1615.55	P	0	1105.77	P	0	737.08	P	0
41315_at	153.04	A	0.27	166.27	A	0.15	218.77	A	0.28	163.42	A	0.52	390.93	A	0.13	396.13	A	0.15	134.26	A	0.52	456.01	A	0.3
41316_s_at	964.1	P	0	623.67	P	0	961.17	P	0	1178.55	P	0	1027.47	P	0.01	1022.42	P	0.01	585.5	P	0.03	655.68	A	0.07
41317_at	530.95	P	0	414.8	P	0	1823.94	P	0	1914.18	P	0	51.67	A	0.56	173.59	M	0.04	30.19	A	0.75	4.78	A	0.96
41318_g_at	502.85	P	0.01	267.28	P	0.01	1186.37	P	0	1550.87	P	0	62.44	A	0.7	74.79	A	0.44	48.42	A	0.81	31.39	A	0.91
41319_at	26.66	A	0.96	7.94	A	0.91	18.73	A	0.99	17.46	A	0.99	21.07	A	1	18.59	A	1	10.94	A	1	15.21	A	1
41320_s_at	104.78	P	0.01	58.37	P	0	164.37	P	0	136.22	P	0	146.1	P	0.01	191.87	P	0	104.54	A	0.19	92.09	A	0.22
41321_s_at	194.8	A	0.73	122.83	A	0.72	155.54	A	0.66	85.6	A	0.81	207.76	A	0.6	73.92	A	0.81	217.85	A	0.91	232.14	A	0.88
41322_s_at	1200.32	P	0	1093.62	P	0	634.24	P	0.02	868.32	P	0.01	645.98	M	0.05	971.38	P	0.03	1196.66	P	0.03	1387.93	A	0.06
41323_at	85.6	A	0.38	115.89	A	0.22	290.56	A	0.12	280.38	A	0.06	72.22	A	0.42	272.3	A	0.07	220.84	A	0.48	139.95	A	0.44
41324_g_at	608.84	P	0.02	514.6	P	0.02	631.63	P	0.01	641.01	P	0.02	515.22	P	0.03	562.19	P	0.03	563.64	M	0.05	832.62	M	0.04
41325_at	676.08	P	0.04	641.14	P	0	380.47	A	0.22	284.81	A	0.42	212.2	A	0.4	249.9	A	0.23	114.61	A	0.68	570.39	A	0.3
41326_at	32.38	A	0.98	24.28	A	0.91	52.03	A	0.78	46.21	A	0.85	63.86	A	0.8	71.25	A	0.73	71.97	A	0.93	97.26	A	0.88
41327_at	55.18	A	0.98	43.99	A	0.97	62.59	A	0.93	57.81	A	0.92	76.69	A	0.97	39.19	A	0.95	54.06	A	0.99	64.11	A	0.95
41328_s_at	247.38	P	0.01	238.46	P	0.01	230.25	A	0.08	246.43	P	0.01	161.13	A	0.07	194.62	M	0.05	96.14	A	0.44	150.88	A	0.23
41329_at	142.45	P	0.02	96.98	M	0.05	194.55	A	0.1	152.25	A	0.06	127.75	A	0.52	138.8	A	0.25	115.25	A	0.3	144.23	A	0.34
41330_s_at	11.09	A	0.87	40.61	A	0.5	32.96	A	0.66	22.02	A	0.7	14.45	A	0.85	9.3	A	0.91	31.64	A	0.6	15.16	A	0.8
41331_at	241.16	A	0.08	186.53	P	0.04	297.88	P	0.04	198.49	A	0.07	413.11	P	0.04	384	P	0.02	403.4	A	0.07	507.49	A	0.07
41332_at	1483.72	P	0.01	1869.71	P	0	309.48	A	0.16	417.17	A	0.13	1086.96	M	0.04	933.09	P	0.01	1388.16	P	0.02	927.31	A	0.09
41333_at	80.83	P	0.04	64.63	P	0.01	149.87	P	0	151.38	P	0	66.17	A	0.22	81.25	P	0.02	12.16	A	0.66	64.43	A	0.19
41334_r_at	39.64	A	0.42	117.24	A	0.12	94.09	A	0.23	147.21	A	0.19	186.08	A	0.2	222.59	A	0.06	40.88	A	0.64	57.26	A	0.38
41335_at	1401.03	P	0	949.03	P	0	703.39	P	0	952.44	P	0	554.98	P	0	1074.45	P	0	401.1	P	0	382.54	P	0
41336_at	16.63	A	0.87	10.69	A	0.78	100.82	A	0.16	65.33	A	0.5	59.38	A	0.82	15.3	A	0.89	20.51	A	0.87	19.99	A	0.87
41337_at	5825.08	P	0	6709.68	P	0	2036.54	P	0	1800.46	P	0	1487.84	P	0	1327.73	P	0	2210.67	P	0	2352.13	P	0
41338_at	17392.78	P	0	18307.66	P	0	8990.08	P	0	10918.5	P	0	1946.63	P	0	3109.9	P	0	4315.84	P	0	4099.01	P	0
41339_at	382.03	P	0.01	347.68	P	0	426.16	P	0.01	415.75	P	0	500.37	A	0.11	265.33	M	0.04	269.69	A	0.07	484.89	A	0.09
41340_at	189.46	A	0.6	88.84	A	0.68	601.41	A	0.27	430.08	A	0.52	290.4	A	0.52	177.89	A	0.5	291.57	A	0.54	646.12	A	0.38
41341_at	62.31	A	0.72	24.53	A	0.86	48.04	A	0.58	35.83	A	0.78	56.32	A	0.75	38.09	A	0.81	38.66	A	0.96	62.79	A	0.75
41342_at	528.65	P	0	564.87	P	0	405.36	P	0	440.45	P	0	421.94	P	0	433.16	P	0	428.45	P	0	417.92	P	0
41343_at	743.36	P	0	598.9	P	0	462.9	P	0.01	313.48	P	0.01	360.39	A	0.1	352.12	P	0.03	610.03	P	0.01	770.55	P	0.02
41344_s_at	824.62	P	0	691.64	P	0	371.35	P	0.01	324.64	P	0.01	324.34	P	0.02	149.65	A	0.06	144.92	A	0.28	503.39	P	0.02
41345_at	304.71	A	0.19	63.89	A	0.38	294.77	A	0.28	94.09	A	0.48	462.62	A	0.14	62.26	A	0.44	181.38	A	0.42	745.2	A	0.12
41346_at	1208.31	P	0	2090.96	P	0	905.55	P	0.01	907.75	P	0.01	286.58	A	0.27	336.18	A	0.2	559.75	A	0.15	763.57	A	0.16
41347_at	162.62	A	0.75	188.04	A	0.66	156.98	A	0.62	127.25	A	0.7	223.75	A	0.62	250.19	A	0.7	195.31	A	0.84	209.41	A	0.75
41348_at	41.84	A	0.86	10.16	A	0.88	10.33	A	0.91	24.03	A	0.82	96.99	A	0.52	20.82	A	0.62	92.87	A	0.58	39.18	A	0.7
41349_at	840.31	A	0.07	637.18	P	0.02	558.18	A	0.12	764.06	A	0.1	426.21	A	0.3	329.99	A	0.27	536.94	A	0.3	551.55	A	0.32
41350_at	50.58	A	0.96	39.87	A	0.75	67.92	A	0.85	68.83	A	0.62	88.22	A	0.85	54.66	A	0.7	41.86	A	0.93	77.67	A	0.78
41351_at	449.49	A	0.07	320.36	A	0.08	541.58	M	0.04	494.66	M	0.04	445.38	A	0.13	443.77	A	0.15	436.84	A	0.14	523.97	A	0.14
41352_at	805.84	P	0.02	831.85	P	0.01	1230.19	P	0	1320.69	P	0	4847.25	P	0	4708.46	P	0	4465.78	P	0	4942.26	P	0
41353_at	12.03	A	0.92	60.09	A	0.23	11.37	A	0.68	29.33	A	0.58	14.33	A	0.88	53.16	A	0.4	16.09	A	0.75	11.2	A	0.82
41354_at	128.63	A	0.2	19.81	A	0.32	90.83	A	0.27	102.79	A	0.23	130.14	P	0.03	145.48	P	0	22.66	A	0.7	12.26	A	0.91
41355_at	1165.27	P	0	1089.99	P	0	1692.91	P	0	1769.16	P	0	261.25	A	0.64	263.69	A	0.27	41.84	A	0.85	119.28	A	0.75
41356_at	1123.31	P	0	1622.66	P	0	4743.74	P	0	3993.23	P	0	383.6	A	0.07	283.57	A	0.07	117.17	A	0.58	180.51	A	0.38
41357_at	190.12	A	0.3	185.25	A	0.15	199.75	A	0.42	163.26	A	0.44	121.19	A	0.78	191.57	A	0.58	420.77	A	0.25	148.79	A	0.68
41358_at	213.96	P	0	182.84	P	0	146.59	P	0.02	154.65	M	0.05	187.48	P	0.03	164.6	P	0	206.63	P	0.01	213.14	P	0.01
41359_at	86.42	A	0.32	171.87	A	0.32	144.33	A	0.4	74.39	A	0.52	317.73	A	0.38	273.23	A	0.23	129.21	A	0.48	215.01	A	0.42
41360_at	70.5	P	0.02	73.23	P	0.03	307.79	P	0	396.79	P	0	200.95	P	0	242.05	P	0	117.89	P	0.03	27.16	A	0.19
41361_at	141.09	A	0.73	56.89	A	0.62	204.76	A	0.64	105.69	A	0.78	249.72	A	0.52	102.19	A	0.73	305.36	A	0.75	148.74	A	0.75
41362_at	121.54	P	0.01	109.45	P	0	92.52	A	0.15	81.27	P	0.04	113.98	A	0.08	207.05	P	0	73.39	A	0.32	105.02	A	0.06
41363_at	61.58	A	0.54	44.72	A	0.09	83.37	A	0.15	170.09	P	0.01	22.16	A	0.73	27.09	A	0.58	13.71	A	0.9	13.18	A	0.95
41364_r_at	20.34	A	0.81	8.76	A	0.73	18.98	A	0.58	34.32	A	0.6	17.17	A	0.87	20.9	A	0.82	25.59	A	0.89	25.8	A	0.77
41365_at	72.65	A	0.96	51.61	A	0.93	48.96	A	0.99	58.65	A	0.92	102.89	A	0.94	74.76	A	0.81	117.03	A	0.86	75.33	A	0.98
41366_at	2193	P	0	2258.35	P	0	2044.92	P	0	2108.18	P	0	771.09	P	0	631.59	P	0	988.08	P	0	886.17	P	0
41367_at	21.56	A	0.72	6.36	A	0.73	17.78	A	0.62	74.19	A	0.36	13.03	A	0.98	36.04	A	0.44	21.29	A	0.73	98.34	A	0.46
41368_at	294.99	A	0.19	161.2	P	0.04	137.21	A	0.36	154.16	A	0.12	29.37	A	0.89	206.38	P	0.04	254.39	A	0.25	176.04	A	0.38
41369_at	134.15	A	0.19	71.44	A	0.13	131.17	A	0.16	127.5	M	0.04	196.52	A	0.1	123.47	A	0.07	158.29	A	0.23	91	A	0.25
41370_at	264.82	P	0.01	271.46	P	0	269.91	M	0.05	328.73	P	0.01	290.55	A	0.06	378.93	P	0	276.26	P	0.03	110.97	A	0.27
41371_at	222.11	A	0.15	184.32	A	0.07	373.06	P	0.02	347.47	P	0.04	312.1	A	0.14	282.19	A	0.18	433.24	A	0.11	461.2	A	0.13
41372_at	298.15	P	0	235.96	P	0	460.16	P	0	424.37	P	0	314.91	P	0.02	307.74	P	0	68.33	A	0.28	60.77	A	0.56
41373_s_at	276.52	P	0	444.35	P	0	4235.6	P	0	4278.44	P	0	116.31	A	0.16	117.74	M	0.05	71.06	A	0.44	152.24	A	0.15
41374_at	817.86	P	0.01	585.94	P	0	668.8	P	0	529.07	P	0	1300.73	P	0.01	1191.12	P	0.02	1127.3	P	0	1477.02	P	0
41375_at	766.45	P	0	758.45	P	0	341.89	A	0.1	302.78	P	0.01	797.28	P	0.01	840.89	P	0	915.42	P	0	1564.26	P	0.01
