	Brain_1	Call	p-value	Brain_2	Call	p-value	Fetal_brain_1	Call	p-value	Fetal_brain_2	Call	p-value	Fetal_liver_1	Call	p-value	Fetal_liver_2	Call	p-value	Liver_1	Call	p-value	Liver_2	Call	p-value
1058_at	2890.89	P	0	3284.47	P	0	1142.88	P	0	1182.57	P	0.01	19.58	A	0.99	16.93	A	0.89	60.19	A	0.81	52.12	A	0.7
1059_at	67.44	A	0.48	66.04	P	0	166.73	A	0.13	72.87	A	0.18	29.62	A	0.66	24.55	A	0.78	9.56	A	0.85	91.32	A	0.34
106_at	27.26	A	0.86	60.35	A	0.66	75.3	A	0.77	34.98	A	0.84	262.56	A	0.46	316.73	A	0.44	120.99	A	0.7	203.62	A	0.52
1060_g_at	639.38	A	0.11	360.6	M	0.05	569.31	A	0.06	395.79	A	0.13	643.71	A	0.14	368.01	A	0.08	528.67	A	0.15	831.26	A	0.07
1061_at	310.5	A	0.18	206.82	A	0.22	383.47	A	0.19	415.61	A	0.07	555.61	M	0.05	572.98	P	0.02	351.86	A	0.2	538.3	M	0.05
1062_g_at	196.56	A	0.22	75.32	A	0.42	42.35	A	0.66	65.58	A	0.48	195.05	A	0.2	144.79	A	0.28	42.01	A	0.52	170.58	A	0.34
1063_s_at	3422.44	P	0.02	2872.16	P	0	674.35	A	0.25	773.32	A	0.3	97.51	A	0.78	70.09	A	0.8	121.4	A	0.73	66.32	A	0.89
1064_at	184.77	P	0.01	120.2	P	0	365.36	P	0	443.54	P	0	115.39	P	0.01	155.6	P	0.01	35.93	A	0.56	9.82	A	0.6
1065_at	172.07	A	0.22	129.18	A	0.3	277.64	A	0.1	133.07	A	0.27	236.81	A	0.25	179.63	A	0.36	306.39	A	0.22	206.88	A	0.27
1066_at	79.71	A	0.46	54.29	A	0.48	195.59	A	0.22	52.99	A	0.28	266.14	A	0.34	80.16	A	0.34	443.34	A	0.22	515.24	A	0.14
1067_at	201.8	A	0.25	169.41	A	0.13	245.36	A	0.11	187.98	A	0.23	338.51	A	0.23	321.35	A	0.14	371.28	A	0.14	600.94	A	0.34
1068_g_at	88.32	A	0.9	61.31	A	0.89	54.63	A	0.92	50.29	A	0.91	99.38	A	0.88	46.13	A	0.91	160.49	A	0.84	127.96	A	0.88
1069_at	84.6	A	0.44	45.22	A	0.36	30.18	A	0.52	8.72	A	0.99	8.34	A	1	5.55	A	0.98	47.8	A	0.54	21.98	A	0.84
107_at	70.48	A	0.78	59.25	A	0.75	48.9	A	0.86	22.73	A	0.91	59.29	A	0.9	72.1	A	0.88	156.71	A	0.78	85.59	A	0.93
1070_at	105.62	A	0.34	94.3	A	0.25	150.84	A	0.27	307.06	A	0.1	204.29	A	0.27	216.33	A	0.18	68.19	A	0.5	40.91	A	0.66
1071_at	57.39	A	0.82	40.04	A	0.66	49.74	A	0.68	51.17	A	0.72	94.17	A	0.58	67.03	A	0.6	51.56	A	0.81	51.81	A	0.86
1072_g_at	294.04	A	0.25	225.97	A	0.28	73.73	A	0.5	204.95	A	0.36	213.18	A	0.44	115.39	A	0.62	208.43	A	0.64	150.35	A	0.6
1073_at	793.53	P	0	475.45	P	0	1536.27	P	0	1477.2	P	0	773.83	P	0	857.39	P	0	507.99	P	0	463.28	P	0
1074_at	305.01	P	0.01	223.01	P	0.02	830.33	P	0	991.49	P	0	316.41	P	0.01	412.02	P	0.02	122.9	A	0.34	53.98	A	0.62
1075_f_at	28.44	A	0.68	11.07	A	0.56	69.19	A	0.22	63.87	A	0.19	12.27	A	0.87	43.74	A	0.42	66.46	A	0.48	85.15	A	0.44
